,,,
grandfather,0.027738595132292,0.016126660457821,0.021932627795057
grandmother,0.032647070814138,0.025158080486251,0.028902575650195
uncle,0.020163887643198,0.017977059948042,0.01907047379562
aunt,0.013314851808064,0.012266555561002,0.012790703684533
father,0.319597211463981,0.271248958384393,0.295423084924187
mother,0.333988340331852,0.248762315572766,0.291375327952309
brother,0.059855681030617,0.076356551149454,0.068106116090035
sister,0.053243100004077,0.05228910347532,0.052766101739698
cousin,0.010477394104937,0.0094970834763,0.009987238790619
son,0.063402503159526,0.133130728885839,0.098266616022682
daughter,0.05687145827388,0.119675506102642,0.088273482188261
nephew,0.002429776998655,0.003872359198079,0.003151068098367
niece,0.002552081209996,0.00284299789226,0.002697539551128
grandson,0.002038403522361,0.006788882897897,0.004413643210129
granddaughter,0.001679644502426,0.004007156511936,0.002843400507181
